Kabupaten_Kota,RLS,Tahun,AMH,Status,RLS_lower,RLS_upper,AMH_lower,AMH_upper
Kab. Solok,7.89,2022,100.0,Actual,7.89,7.89,100.0,100.0
Kab. Solok,7.9,2023,99.77,Actual,7.9,7.9,99.77,99.77
Kab. Solok,7.91,2024,99.97,Actual,7.91,7.91,99.97,99.97
Kab. Solok,8.25,2025,99.5,Actual,8.25,8.25,99.5,99.5
Kab. Solok,8.589070996725658,2026,99.03128436869866,Forecast,8.538861973247071,8.64001201911744,98.5804471198343,99.49548837764165
Kab. Solok,8.928142029530525,2027,98.56256853615623,Forecast,8.762886294622575,9.092167909603015,97.14881885622302,100.05697579308197
Kab. Solok,9.267213062335392,2028,98.0938527036138,Forecast,8.963171509581262,9.574682949819366,95.14931057242987,100.97340682503743
Kab. Solok,9.607213056873968,2029,97.6238527181055,Forecast,9.130025293632375,10.08838105867143,93.05186960609106,102.40508421637553
Kab. Solok,9.946284089678834,2030,97.15513688556307,Forecast,9.271336993874206,10.621892420062117,90.67988552603117,104.02868441926707
Kab. Solok,10.2853551224837,2031,96.68642105302064,Forecast,9.378544969154303,11.179485662723355,88.32517986973853,105.44670115735765
Kab. Solok,10.624426155288566,2032,96.2177052204782,Forecast,9.471356344989765,11.789950768882672,85.6142616618055,106.80275786107022
Kab. Solok,10.964426149827144,2033,95.7477052349699,Forecast,9.518686529119247,12.396319119368782,82.96943140245774,108.71012235740193
Kab. Solok,11.30349718263201,2034,95.27898940242746,Forecast,9.57141935393982,12.983620246681877,80.02773384727863,111.06203033497997
Kab. Solok,11.642568215436873,2035,94.81027356988503,Forecast,9.581129449403859,13.671483527763487,75.82146009111136,113.49610144436518
Kab. Solok Selatan,7.37,2010,97.91,Actual,7.37,7.37,97.91,97.91
Kab. Solok Selatan,7.4,2011,96.59,Actual,7.4,7.4,96.59,96.59
